Region,Species,LifeStage,Season,maxWaterTemp
North Delta,Prickly Sculpin,Juvenile-Larvae,Spring,24.200000762939453
North Delta,Threespine Stickleback,Adult,Spring,20.100000381469727
North Delta,Threespine Stickleback,Juvenile-Larvae,Spring,30
North Delta,Wakasagi,Adult,Spring,24.899999618530273
North Delta,Wakasagi,Juvenile,Spring,24.899999618530273
North Delta,Wakasagi,Larvae,Spring,22.700000762939453
North Delta,Delta Smelt,Adult,Spring,24.100000381469727
North Delta,Delta Smelt,Juvenile,Spring,26
North Delta,Delta Smelt,Larvae,Spring,23.200000762939453
North Delta,Tule Perch,Adult,Spring,23.333335876464844
North Delta,Tule Perch,Juvenile-Larvae,Spring,27.222225189208984
North Delta,Hitch,Adult,Spring,22.700000762939453
North Delta,Hitch,Juvenile-Larvae,Spring,22
North Delta,Mississippi Silverside,Adult,Spring,27.700000762939453
North Delta,Mississippi Silverside,Juvenile,Spring,28.399999618530273
North Delta,Largemouth Bass,Adult,Spring,24
North Delta,Largemouth Bass,Juvenile,Spring,26.299999237060547
North Delta,Striped Bass,Adult,Spring,25.000001907348633
North Delta,Striped Bass,Juvenile,Spring,30
North Delta,Striped Bass,Larvae,Spring,25.799999237060547
North Delta,Steelhead/Rainbow Trout,Adult,Spring,17.600000381469727
North Delta,Steelhead/Rainbow Trout,Juvenile,Spring,25.000001907348633
North Delta,Steelhead/Rainbow Trout,Larvae,Spring,21.666667938232422
North Delta,Chinook Salmon,Adult,Spring,20.555557250976563
North Delta,Chinook Salmon,Juvenile,Spring,28.5
North Delta,Chinook Salmon,Larvae,Spring,20.555557250976563
North Delta,Sacramento Blackfish,Adult,Spring,21.666667938232422
North Delta,Sacramento Blackfish,Juvenile-Larvae,Spring,19.799999237060547
North Delta,Sacramento Splittail,Adult,Spring,21.666667938232422
North Delta,Sacramento Splittail,Juvenile,Spring,30
North Delta,Sacramento Splittail,Larvae,Spring,25.555557250976563
North Delta,Sacramento Pikeminnow,Adult,Spring,23.5
North Delta,Sacramento Pikeminnow,Juvenile-Larvae,Spring,26.111112594604492
North Delta,Longfin Smelt,Juvenile,Spring,25.5
North Delta,Longfin Smelt,Larvae,Spring,21
South,Green Sturgeon,Juvenile,Spring,22.77777777777778
South,White Sturgeon,Juvenile,Spring,23.333333333333332
South,White Sturgeon,Larvae,Spring,23.77777777777778
South,Sacramento Sucker,Adult,Spring,25.5
South,Sacramento Sucker,Juvenile,Spring,26.600000381469727
South,Prickly Sculpin,Adult,Spring,27.22222222222222
South,Prickly Sculpin,Juvenile-Larvae,Spring,28.333333333333332
South,Threespine Stickleback,Adult,Spring,22.944444444444443
South,Threespine Stickleback,Juvenile-Larvae,Spring,23.88888888888889
South,Wakasagi,Adult,Spring,27
South,Wakasagi,Juvenile,Spring,25.555555555555557
South,Wakasagi,Larvae,Spring,23.333333333333332
South,Delta Smelt,Adult,Spring,25.555555555555557
South,Delta Smelt,Juvenile,Spring,27.77777777777778
South,Delta Smelt,Larvae,Spring,26.666666666666668
South,Tule Perch,Adult,Spring,25.299999237060547
South,Tule Perch,Juvenile-Larvae,Spring,24.5
South,Hitch,Adult,Spring,21
South,Hitch,Juvenile-Larvae,Spring,21.5
South,Mississippi Silverside,Adult,Spring,28.200000762939453
South,Mississippi Silverside,Juvenile,Spring,28.88888888888889
South,Largemouth Bass,Adult,Spring,25
South,Largemouth Bass,Juvenile,Spring,28.88888888888889
South,Striped Bass,Adult,Spring,26.11111111111111
South,Striped Bass,Juvenile,Spring,28.88888888888889
South,Steelhead/Rainbow Trout,Adult,Spring,23.88888888888889
South,Steelhead/Rainbow Trout,Juvenile,Spring,28.333333333333332
South,Chinook Salmon,Juvenile,Spring,28.5
South,Chinook Salmon,Larvae,Spring,21.666666666666668
South,Sacramento Blackfish,Adult,Spring,27
South,Sacramento Blackfish,Juvenile-Larvae,Spring,28.333333333333332
South,Sacramento Splittail,Adult,Spring,26.11111111111111
South,Sacramento Splittail,Juvenile,Spring,28.88888888888889
South,Sacramento Splittail,Larvae,Spring,25.600000381469727
South,Sacramento Pikeminnow,Adult,Spring,26.5
South,Sacramento Pikeminnow,Juvenile-Larvae,Spring,26.600000381469727
South,Longfin Smelt,Juvenile,Spring,25
Suisun Bay,Green Sturgeon,Juvenile,Spring,21
Suisun Bay,White Sturgeon,Adult,Spring,21.666667938232422
Suisun Bay,White Sturgeon,Juvenile,Spring,22.22222328186035
Suisun Bay,White Sturgeon,Larvae,Spring,18.33333396911621
Suisun Bay,Sacramento Sucker,Adult,Spring,21.111112594604492
Suisun Bay,Sacramento Sucker,Juvenile,Spring,21.111112594604492
Suisun Bay,Prickly Sculpin,Adult,Spring,23.200000762939453
Suisun Bay,Prickly Sculpin,Juvenile-Larvae,Spring,21.111112594604492
Suisun Bay,Threespine Stickleback,Adult,Spring,23.888891220092773
Suisun Bay,Threespine Stickleback,Juvenile-Larvae,Spring,22.399999618530273
Suisun Bay,Wakasagi,Adult,Spring,20.899999618530273
Suisun Bay,Wakasagi,Juvenile,Spring,19.200000762939453
Suisun Bay,Wakasagi,Larvae,Spring,22.399999618530273
Suisun Bay,Delta Smelt,Adult,Spring,25.5
Suisun Bay,Delta Smelt,Juvenile,Spring,25.5
Suisun Bay,Delta Smelt,Larvae,Spring,23.333335876464844
Suisun Bay,Tule Perch,Adult,Spring,23.299999237060547
Suisun Bay,Tule Perch,Juvenile-Larvae,Spring,24
Suisun Bay,Hitch,Adult,Spring,17.77777862548828
Suisun Bay,Hitch,Juvenile-Larvae,Spring,18.33333396911621
Suisun Bay,Mississippi Silverside,Adult,Spring,23.333335876464844
Suisun Bay,Mississippi Silverside,Juvenile,Spring,22.799999237060547
Suisun Bay,Largemouth Bass,Adult,Spring,18.299999237060547
Suisun Bay,Largemouth Bass,Juvenile,Spring,21.666667938232422
Suisun Bay,Striped Bass,Adult,Spring,24.444446563720703
Suisun Bay,Striped Bass,Juvenile,Spring,25.5
Suisun Bay,Striped Bass,Larvae,Spring,22.600000381469727
Suisun Bay,Steelhead/Rainbow Trout,Adult,Spring,22
Suisun Bay,Steelhead/Rainbow Trout,Juvenile,Spring,23.333335876464844
Suisun Bay,Chinook Salmon,Adult,Spring,21.700000762939453
Suisun Bay,Chinook Salmon,Juvenile,Spring,25.5
Suisun Bay,Chinook Salmon,Larvae,Spring,21.111112594604492
Suisun Bay,Sacramento Blackfish,Adult,Spring,20.555557250976563
Suisun Bay,Sacramento Blackfish,Juvenile-Larvae,Spring,21.111112594604492
Suisun Bay,Sacramento Splittail,Adult,Spring,24.444446563720703
Suisun Bay,Sacramento Splittail,Juvenile,Spring,25.5
Suisun Bay,Sacramento Splittail,Larvae,Spring,18.33333396911621
Suisun Bay,Sacramento Pikeminnow,Adult,Spring,20.000001907348633
Suisun Bay,Sacramento Pikeminnow,Juvenile-Larvae,Spring,22
Suisun Bay,Longfin Smelt,Adult,Spring,24.444446563720703
Suisun Bay,Longfin Smelt,Juvenile,Spring,25.5
Suisun Bay,Longfin Smelt,Larvae,Spring,20.555557250976563
Suisun Marsh,White Sturgeon,Adult,Spring,23.600000381469727
Suisun Marsh,White Sturgeon,Juvenile,Spring,25.899999618530273
Suisun Marsh,White Sturgeon,Larvae,Spring,24.799999237060547
Suisun Marsh,Sacramento Sucker,Adult,Spring,32.099998474121094
Suisun Marsh,Sacramento Sucker,Juvenile,Spring,26
Suisun Marsh,Prickly Sculpin,Adult,Spring,32.099998474121094
Suisun Marsh,Prickly Sculpin,Juvenile-Larvae,Spring,32.099998474121094
Suisun Marsh,Threespine Stickleback,Adult,Spring,26
Suisun Marsh,Threespine Stickleback,Juvenile-Larvae,Spring,32.099998474121094
Suisun Marsh,Wakasagi,Juvenile,Spring,18.799999237060547
Suisun Marsh,Wakasagi,Larvae,Spring,21.899999618530273
Suisun Marsh,Delta Smelt,Adult,Spring,23.799999237060547
Suisun Marsh,Delta Smelt,Juvenile,Spring,25
Suisun Marsh,Delta Smelt,Larvae,Spring,21.600000381469727
Suisun Marsh,Tule Perch,Adult,Spring,32.099998474121094
Suisun Marsh,Tule Perch,Juvenile-Larvae,Spring,32.099998474121094
Suisun Marsh,Hitch,Juvenile-Larvae,Spring,24
Suisun Marsh,Mississippi Silverside,Adult,Spring,20.549999237060547
Suisun Marsh,Mississippi Silverside,Juvenile,Spring,24
Suisun Marsh,Striped Bass,Adult,Spring,26.299999237060547
Suisun Marsh,Striped Bass,Juvenile,Spring,32.099998474121094
Suisun Marsh,Striped Bass,Larvae,Spring,23.899999618530273
Suisun Marsh,Chinook Salmon,Juvenile,Spring,21.899999618530273
Suisun Marsh,Sacramento Blackfish,Juvenile-Larvae,Spring,20.5
Suisun Marsh,Sacramento Splittail,Adult,Spring,32.099998474121094
Suisun Marsh,Sacramento Splittail,Juvenile,Spring,32.099998474121094
Suisun Marsh,Sacramento Splittail,Larvae,Spring,24
Suisun Marsh,Sacramento Pikeminnow,Adult,Spring,25
Suisun Marsh,Sacramento Pikeminnow,Juvenile-Larvae,Spring,24.5
Suisun Marsh,Longfin Smelt,Adult,Spring,21
Suisun Marsh,Longfin Smelt,Juvenile,Spring,26
Suisun Marsh,Longfin Smelt,Larvae,Spring,20.600000381469727
Central,Green Sturgeon,Juvenile,Summer,28.5
Central,White Sturgeon,Juvenile,Summer,26.666666666666668
Central,Sacramento Sucker,Juvenile,Summer,28.055555555555557
Central,Prickly Sculpin,Adult,Summer,29.700000762939453
Central,Prickly Sculpin,Juvenile-Larvae,Summer,28.88888888888889
Central,Wakasagi,Adult,Summer,26.899999618530273
Central,Wakasagi,Juvenile,Summer,23.88888888888889
Central,Delta Smelt,Adult,Summer,27.770000457763672
Central,Delta Smelt,Juvenile,Summer,26.666666666666668
Central,Delta Smelt,Larvae,Summer,27.77777777777778
Central,Tule Perch,Adult,Summer,25.299999237060547
Central,Tule Perch,Juvenile-Larvae,Summer,26.600000381469727
Central,Hitch,Juvenile-Larvae,Summer,23.899999618530273
Central,Mississippi Silverside,Adult,Summer,27.77777777777778
Central,Mississippi Silverside,Juvenile,Summer,31.11111111111111
Central,Largemouth Bass,Adult,Summer,28.333333333333332
Central,Largemouth Bass,Juvenile,Summer,30
Central,Striped Bass,Adult,Summer,28.333333333333332
Central,Striped Bass,Juvenile,Summer,31.11111111111111
Central,Steelhead/Rainbow Trout,Adult,Summer,25.555555555555557
Central,Steelhead/Rainbow Trout,Juvenile,Summer,28.333333333333332
Central,Chinook Salmon,Juvenile,Summer,28.333333333333332
